capacity,seed,heuristic,n_orders,orders_completed,terminated_early,makespan_sec
7,123,Order Driven,10,2,1,100000.0
7,124,Assignment First,12,0,1,100000.0
7,124,FIFO,12,5,1,100000.0
7,124,Greedy,12,2,1,100000.0
7,124,Order Driven,12,12,0,76.0
7,125,Assignment First,11,11,0,46.0
7,125,FIFO,11,11,0,48.0
7,125,Greedy,11,11,0,65.0
7,125,Order Driven,11,11,0,44.0
7,126,Assignment First,14,6,1,100000.0
7,126,FIFO,14,3,1,100000.0
7,126,Greedy,14,2,1,100000.0
7,126,Order Driven,14,4,1,100000.0
7,127,Assignment First,10,2,1,100000.0
7,127,FIFO,10,10,0,39.0
7,127,Greedy,10,4,1,100000.0
7,127,Order Driven,10,3,1,100000.0
7,128,Assignment First,11,11,0,60.0
7,128,FIFO,11,11,0,49.0
7,128,Greedy,11,11,0,41.0
7,128,Order Driven,11,11,0,48.0
7,129,Assignment First,14,0,1,100000.0
7,129,FIFO,14,3,1,100000.0
7,129,Greedy,14,1,1,100000.0
7,129,Order Driven,14,1,1,100000.0
7,130,Assignment First,14,14,0,71.0
7,130,FIFO,14,14,0,61.0
7,130,Greedy,14,5,1,100000.0
7,130,Order Driven,14,2,1,100000.0
7,131,Assignment First,12,12,0,53.0
7,131,FIFO,12,4,1,100000.0
7,131,Greedy,12,7,1,100000.0
7,131,Order Driven,12,12,0,78.0
7,132,Assignment First,13,13,0,64.0
7,132,FIFO,13,13,0,59.0
7,132,Greedy,13,3,1,100000.0
7,132,Order Driven,13,13,0,59.0
7,133,Assignment First,13,8,1,100000.0
7,133,FIFO,13,8,1,100000.0
7,133,Greedy,13,1,1,100000.0
7,133,Order Driven,13,5,1,100000.0
7,134,Assignment First,13,8,1,100000.0
7,134,FIFO,13,13,0,67.0
7,134,Greedy,13,9,1,100000.0
7,134,Order Driven,13,3,1,100000.0
7,135,Assignment First,15,2,1,100000.0
7,135,FIFO,15,6,1,100000.0
7,135,Greedy,15,3,1,100000.0
